CMBODY             =                            3
CMBODY_RADIUS      =                     6378.137  KM
GRAPH CBF          =                            F
   JULIAN DATE (day)              X (km)              Y (km)              Z (km)
      2458280.252904       -27526781.823      -149370919.512            6931.765
      2458280.352904       -27277739.944      -149418397.671            6931.916
      2458280.452904       -27028618.918      -149465451.730            6931.811
      2458280.552904       -26779419.486      -149512081.516            6931.451
      2458280.652904       -26530142.394      -149558286.858            6930.835
      2458280.752904       -26280788.385      -149604067.586            6929.964
      2458280.852904       -26031358.208      -149649423.534            6928.836
      2458280.952904       -25781852.611      -149694354.535            6927.454
      2458281.052904       -25532272.347      -149738860.427            6925.816
      2458281.152904       -25282618.166      -149782941.047            6923.924
      2458281.252904       -25032890.823      -149826596.237            6921.778
      2458281.352904       -24783091.076      -149869825.839            6919.379
      2458281.452904       -24533219.680      -149912629.698            6916.728
      2458281.552904       -24283277.396      -149955007.661            6913.826
      2458281.652904       -24033264.985      -149996959.578            6910.675
      2458281.752904       -23783183.210      -150038485.302            6907.277
      2458281.852904       -23533032.834      -150079584.685            6903.633
      2458281.952904       -23282814.624      -150120257.586            6899.744
      2458282.052904       -23032529.348      -150160503.864            6895.614
      2458282.152904       -22782177.773      -150200323.381            6891.245
      2458282.252904       -22531760.670      -150239716.001            6886.638
      2458282.352904       -22281278.812      -150278681.594            6881.797
      2458282.452904       -22030732.970      -150317220.028            6876.725
      2458282.552904       -21780123.920      -150355331.178            6871.424
      2458282.652904       -21529452.436      -150393014.919            6865.898
      2458282.752904       -21278719.296      -150430271.131            6860.149
      2458282.852904       -21027925.277      -150467099.696            6854.183
      2458282.952904       -20777071.158      -150503500.499            6848.002
      2458283.052904       -20526157.720      -150539473.429            6841.610
      2458283.152904       -20275185.742      -150575018.377            6835.011
      2458283.252904       -20024156.007      -150610135.238            6828.210
      2458283.352904       -19773069.296      -150644823.910            6821.211
      2458283.452904       -19521926.393      -150679084.293            6814.018
      2458283.552904       -19270728.082      -150712916.293            6806.636
      2458283.652904       -19019475.147      -150746319.817            6799.070
      2458283.752904       -18768168.372      -150779294.776            6791.326
      2458283.852904       -18516808.543      -150811841.084            6783.407
      2458283.952904       -18265396.444      -150843958.660            6775.320
      2458284.052904       -18013932.862      -150875647.424            6767.070
      2458284.152904       -17762418.582      -150906907.301            6758.661
      2458284.252904       -17510854.391      -150937738.218            6750.101
      2458284.352904       -17259241.073      -150968140.108            6741.395
      2458284.452904       -17007579.414      -150998112.903            6732.548
      2458284.552904       -16755870.200      -151027656.543            6723.566
      2458284.652904       -16504114.216      -151056770.969            6714.456
      2458284.752904       -16252312.247      -151085456.125            6705.224
      2458284.852904       -16000465.077      -151113711.959            6695.876
      2458284.952904       -15748573.490      -151141538.423            6686.417
      2458285.052904       -15496638.269      -151168935.471            6676.856
      2458285.152904       -15244660.197      -151195903.060            6667.197
      2458285.252904       -14992640.056      -151222441.151            6657.448
      2458285.352904       -14740578.626      -151248549.709            6647.614
      2458285.452904       -14488476.688      -151274228.701            6637.703
      2458285.552904       -14236335.021      -151299478.096            6627.721
      2458285.652904       -13984154.402      -151324297.869            6617.675
      2458285.752904       -13731935.610      -151348687.995            6607.571
      2458285.852904       -13479679.420      -151372648.454            6597.416
      2458285.952904       -13227386.606      -151396179.228            6587.217
      2458286.052904       -12975057.942      -151419280.302            6576.979
      2458286.152904       -12722694.201      -151441951.663            6566.711
      2458286.252904       -12470296.152      -151464193.302            6556.417
      2458286.352904       -12217864.566      -151486005.212            6546.106
      2458286.452904       -11965400.210      -151507387.389            6535.783
      2458286.552904       -11712903.851      -151528339.831            6525.455
      2458286.652904       -11460376.253      -151548862.539            6515.129
      2458286.752904       -11207818.181      -151568955.515            6504.810
      2458286.852904       -10955230.394      -151588618.766            6494.506
      2458286.952904       -10702613.655      -151607852.299            6484.222
      2458287.052904       -10449968.721      -151626656.125            6473.965
      2458287.152904       -10197296.348      -151645030.254            6463.741
      2458287.252904        -9944597.293      -151662974.702            6453.555
      2458287.352904        -9691872.309      -151680489.485            6443.415
      2458287.452904        -9439122.147      -151697574.622            6433.326
      2458287.552904        -9186347.557      -151714230.132            6423.293
      2458287.652904        -8933549.287      -151730456.037            6413.323
      2458287.752904        -8680728.085      -151746252.361            6403.421
      2458287.852904        -8427884.694      -151761619.131            6393.593
      2458287.952904        -8175019.858      -151776556.373            6383.844
      2458288.052904        -7922134.318      -151791064.115            6374.180
      2458288.152904        -7669228.814      -151805142.389            6364.605
      2458288.252904        -7416304.083      -151818791.226            6355.125
      2458288.352904        -7163360.861      -151832010.660            6345.746
      2458288.452904        -6910399.883      -151844800.725            6336.471
      2458288.552904        -6657421.881      -151857161.458            6327.305
      2458288.652904        -6404427.587      -151869092.895            6318.254
      2458288.752904        -6151417.728      -151880595.076            6309.322
      2458288.852904        -5898393.034      -151891668.039            6300.513
      2458288.952904        -5645354.230      -151902311.827            6291.832
      2458289.052904        -5392302.039      -151912526.480            6283.283
      2458289.152904        -5139237.185      -151922312.043            6274.869
      2458289.252904        -4886160.389      -151931668.559            6266.595
      2458289.352904        -4633072.370      -151940596.073            6258.465
      2458289.452904        -4379973.846      -151949094.631            6250.482
      2458289.552904        -4126865.533      -151957164.280            6242.649
      2458289.652904        -3873748.146      -151964805.067            6234.971
      2458289.752904        -3620622.398      -151972017.042            6227.451
      2458289.852904        -3367489.001      -151978800.254            6220.091
      2458289.952904        -3114348.666      -151985154.752            6212.895
